Series Id,Year,Period,Value
SUUR0000SA0,2008,M03,123.323
SUUR0000SA0,2008,M04,124.116
SUUR0000SA0,2008,M05,125.171
SUUR0000SA0,2008,M06,126.307
SUUR0000SA0,2008,M07,126.918
SUUR0000SA0,2008,M08,126.594
SUUR0000SA0,2008,M09,126.551
SUUR0000SA0,2008,M10,125.500
SUUR0000SA0,2008,M11,123.044
SUUR0000SA0,2008,M12,121.557
SUUR0000SA0,2009,M01,122.095
SUUR0000SA0,2009,M02,122.598
SUUR0000SA0,2009,M03,122.803
SUUR0000SA0,2009,M04,123.053
SUUR0000SA0,2009,M05,123.427
SUUR0000SA0,2009,M06,124.485
SUUR0000SA0,2009,M07,124.293
SUUR0000SA0,2009,M08,124.620
SUUR0000SA0,2009,M09,124.706
SUUR0000SA0,2009,M10,124.791
SUUR0000SA0,2009,M11,124.788
SUUR0000SA0,2009,M12,124.544
SUUR0000SA0,2010,M01,124.987
SUUR0000SA0,2010,M02,124.972
SUUR0000SA0,2010,M03,125.442
SUUR0000SA0,2010,M04,125.620
SUUR0000SA0,2010,M05,125.678
SUUR0000SA0,2010,M06,125.521
SUUR0000SA0,2010,M07,125.536
SUUR0000SA0,2010,M08,125.756
SUUR0000SA0,2010,M09,125.830
SUUR0000SA0,2010,M10,125.969
SUUR0000SA0,2010,M11,125.920
SUUR0000SA0,2010,M12,126.143
SUUR0000SA0,2011,M01,126.778
SUUR0000SA0,2011,M02,127.363
SUUR0000SA0,2011,M03,128.585
SUUR0000SA0,2011,M04,129.483
SUUR0000SA0,2011,M05,129.999
SUUR0000SA0,2011,M06,129.846
SUUR0000SA0,2011,M07,129.983
SUUR0000SA0,2011,M08,130.351
SUUR0000SA0,2011,M09,130.635
SUUR0000SA0,2011,M10,130.373
SUUR0000SA0,2011,M11,130.196
SUUR0000SA0,2011,M12,129.844
SUUR0000SA0,2012,M01,130.438
SUUR0000SA0,2012,M02,130.953
SUUR0000SA0,2012,M03,131.905
SUUR0000SA0,2012,M04,132.284
SUUR0000SA0,2012,M05,132.154
SUUR0000SA0,2012,M06,131.956
SUUR0000SA0,2012,M07,131.731
SUUR0000SA0,2012,M08,132.430
SUUR0000SA0,2012,M09,132.988
SUUR0000SA0,2012,M10,132.892
SUUR0000SA0,2012,M11,132.208
SUUR0000SA0,2012,M12,131.770
SUUR0000SA0,2013,M01,132.137
SUUR0000SA0,2013,M02,133.204
SUUR0000SA0,2013,M03,133.558
SUUR0000SA0,2013,M04,133.421
SUUR0000SA0,2013,M05,133.626
SUUR0000SA0,2013,M06,133.900
SUUR0000SA0,2013,M07,133.919
SUUR0000SA0,2013,M08,134.098
SUUR0000SA0,2013,M09,134.255
SUUR0000SA0,2013,M10,133.876
SUUR0000SA0,2013,M11,133.596
SUUR0000SA0,2013,M12,133.509
SUUR0000SA0,2014,M01,134.017
SUUR0000SA0,2014,M02,134.542
SUUR0000SA0,2014,M03,135.375
SUUR0000SA0,2014,M04,135.771
SUUR0000SA0,2014,M05,136.216
SUUR0000SA0,2014,M06,136.433
SUUR0000SA0,2014,M07,136.392
SUUR0000SA0,2014,M08,136.127
SUUR0000SA0,2014,M09,136.211
SUUR0000SA0,2014,M10,135.891
SUUR0000SA0,2014,M11,135.107
SUUR0000SA0,2014,M12,134.207
SUUR0000SA0,2015,M01,133.487
SUUR0000SA0,2015,M02,134.053
SUUR0000SA0,2015,M03,134.969
SUUR0000SA0,2015,M04,135.222
SUUR0000SA0,2015,M05,135.977
SUUR0000SA0,2015,M06,136.391
SUUR0000SA0,2015,M07,136.371
SUUR0000SA0,2015,M08,136.125
SUUR0000SA0,2015,M09,135.837
SUUR0000SA0,2015,M10,135.735
SUUR0000SA0,2015,M11,135.393
SUUR0000SA0,2015,M12,134.788
SUUR0000SA0,2016,M01,134.966
SUUR0000SA0,2016,M02,134.953
SUUR0000SA0,2016,M03,135.655
SUUR0000SA0,2016,M04,136.332
SUUR0000SA0,2016,M05,136.895
SUUR0000SA0,2016,M06,137.329
SUUR0000SA0,2016,M07,137.007
SUUR0000SA0,2016,M08,137.026
SUUR0000SA0,2016,M09,137.328
SUUR0000SA0,2016,M10,137.536
SUUR0000SA0,2016,M11,137.253
SUUR0000SA0,2016,M12,137.221
SUUR0000SA0,2017,M01,138.035
SUUR0000SA0,2017,M02,138.403
SUUR0000SA0,2017,M03,138.461
SUUR0000SA0,2017,M04,138.810
SUUR0000SA0,2017,M05,138.922
SUUR0000SA0,2017,M06,138.989
SUUR0000SA0,2017,M07,138.755
SUUR0000SA0,2017,M08,139.128
SUUR0000SA0,2017,M09,139.878
SUUR0000SA0,2017,M10,139.782
SUUR0000SA0,2017,M11,139.720
SUUR0000SA0,2017,M12,139.546
SUUR0000SA0,2018,M01,140.239
SUUR0000SA0,2018,M02,140.805
SUUR0000SA0,2018,M03,141.142
SUUR0000SA0,2018,M04,141.662
SUUR0000SA0,2018,M05,142.146
SUUR0000SA0,2018,M06,142.349
SUUR0000SA0,2018,M07,142.317
SUUR0000SA0,2018,M08,142.317
SUUR0000SA0,2018,M09,142.489
SUUR0000SA0,2018,M10,142.700
SUUR0000SA0,2018,M11,142.238
SUUR0000SA0,2018,M12,141.699
SUUR0000SA0,2019,M01,142.001
SUUR0000SA0,2019,M02,142.571
SUUR0000SA0,2019,M03,143.297
SUUR0000SA0,2019,M04,143.926
SUUR0000SA0,2019,M05,144.183
SUUR0000SA0,2019,M06,144.243
SUUR0000SA0,2019,M07,144.409
SUUR0000SA0,2019,M08,144.388
SUUR0000SA0,2019,M09,144.428
SUUR0000SA0,2019,M10,144.629
SUUR0000SA0,2019,M11,144.518
SUUR0000SA0,2019,M12,144.251
SUUR0000SA0,2020,M01,144.813
SUUR0000SA0,2020,M02,145.193
SUUR0000SA0,2020,M03,144.913
SUUR0000SA0,2020,M04,144.142
SUUR0000SA0,2020,M05,144.018
SUUR0000SA0,2020,M06,144.847
SUUR0000SA0,2020,M07,145.747
SUUR0000SA0,2020,M08,146.270
SUUR0000SA0,2020,M09,146.417
SUUR0000SA0,2020,M10,146.382
SUUR0000SA0,2020,M11,146.242
SUUR0000SA0,2020,M12,146.408
SUUR0000SA0,2021,M01,147.125
SUUR0000SA0,2021,M02,147.845
SUUR0000SA0,2021,M03,148.746
SUUR0000SA0,2021,M04,149.903
SUUR0000SA0,2021,M05,151.022
SUUR0000SA0,2021,M06,152.295
SUUR0000SA0,2021,M07,153.076
SUUR0000SA0,2021,M08,153.301
SUUR0000SA0,2021,M09,153.734
SUUR0000SA0,2021,M10,154.973(U)
SUUR0000SA0,2021,M11,155.687(U)
SUUR0000SA0,2021,M12,156.116(U)
SUUR0000SA0,2022,M01,157.414(U)
SUUR0000SA0,2022,M02,158.807(U)
SUUR0000SA0,2022,M03,160.688(U)
SUUR0000SA0,2022,M04,161.573(U)
SUUR0000SA0,2022,M05,163.151(U)
SUUR0000SA0,2022,M06,165.118(U)
SUUR0000SA0,2022,M07,165.310(I)
SUUR0000SA0,2022,M08,165.509(I)
