race
WHITE
BLACK OR AFRICAN AMERICAN
AMERICAN INDIAN AND ALASKA NATIVE
ASIAN
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER"
SOME OTHER RACE
TWO OR MORE RACES
"WHITE, NOT HISPANIC OR LATINO"
HISPANIC OR LATINO
